Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691297
,EXR.D.ARS.EUR.SP00.A,EXR.D.DZD.EUR.SP00.A,EXR.D.MAD.EUR.SP00.A,EXR.D.TWD.EUR.SP00.A
,Argentine peso,Algerian dinar,Moroccan dirham,New Taiwan dollar
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Argentine peso ],[Algerian dinar ],[Moroccan dirham ],[New Taiwan dollar ]
2021-03-31,-,-,-,-
2021-03-30,-,-,-,-
2021-03-29,-,-,-,-
2021-03-26,-,-,-,-
2021-03-25,-,-,-,-
2021-03-24,-,-,-,-
2021-03-23,-,-,-,-
2021-03-22,-,-,-,-
2021-03-19,-,-,-,-
2021-03-18,-,-,-,-
2021-03-17,-,-,-,-
2021-03-16,-,-,-,-
2021-03-15,-,-,-,-
2021-03-12,-,-,-,-
2021-03-11,-,-,-,-
2021-03-10,-,-,-,-
2021-03-09,-,-,-,-
2021-03-08,-,-,-,-
2021-03-05,-,-,-,-
2021-03-04,-,-,-,-
2021-03-03,-,-,-,-
2021-03-02,-,-,-,-
2021-03-01,-,-,-,-
2021-02-26,-,-,-,-
2021-02-25,-,-,-,-
2021-02-24,-,-,-,-
2021-02-23,-,-,-,-
2021-02-22,-,-,-,-
2021-02-19,-,-,-,-
2021-02-18,-,-,-,-
2021-02-17,-,-,-,-
2021-02-16,-,-,-,-
2021-02-15,-,-,-,-
2021-02-12,-,-,-,-
2021-02-11,-,-,-,-
2021-02-10,-,-,-,-
2021-02-09,-,-,-,-
2021-02-08,-,-,-,-
2021-02-05,-,-,-,-
2021-02-04,-,-,-,-
2021-02-03,-,-,-,-
2021-02-02,-,-,-,-
2021-02-01,-,-,-,-
2021-01-29,-,-,-,-
2021-01-28,-,-,-,-
2021-01-27,-,-,-,-
2021-01-26,-,-,-,-
2021-01-25,-,-,-,-
2021-01-22,-,-,-,-
2021-01-21,-,-,-,-
2021-01-20,-,-,-,-
2021-01-19,-,-,-,-
2021-01-18,-,-,-,-
2021-01-15,-,-,-,-
2021-01-14,-,-,-,-
2021-01-13,-,-,-,-
2021-01-12,-,-,-,-
2021-01-11,-,-,-,-
2021-01-08,-,-,-,-
2021-01-07,-,-,-,-
2021-01-06,-,-,-,-
2021-01-05,-,-,-,-
2021-01-04,-,-,-,-
