Name,Symbol,Start Date,Hist.,Category,From Currency,To Currency,Source,Full Name,Activity
JAPANESE YEN TO US $ (WMR),JAPAYE$,1993/12/31,1993,Exchange Rates,Japanese Yen,United States Dollar,WM/Reuters,Japanese Yen to United States Dollar (WMR),Active
EURO TO US $ (RFV),EUDOLLR,1957/12/31,1957,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar (Refinitiv),Active
CHINESE YUAN TO US $ (WMR),CHIYUA$,1993/12/31,1993,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,WM/Reuters,Chinese Yuan to United States Dollar (WMR),Active
GBP TO USD (BOE),USSTBOE,1975/1/2,1975,Exchange Rates,United Kingdom Pound,United States Dollar,Bank of England,GBP to USD (BOE),Active
EUR TO USD (BOE),EUUSBOE,1975/1/2,1975,Exchange Rates,Euro,United States Dollar,Bank of England,Euro to USD (BOE),Active
CANADIAN $ TO US $ (WMR),CNDOLL$,1993/12/31,1993,Exchange Rates,Canadian Dollar,United States Dollar,WM/Reuters,Canadian Dollar to United States Dollar (WMR),Active
BRAZILIAN REAL TO US $ (WMR),BRACRU$,1994/6/30,1994,Exchange Rates,Brazilian Real,United States Dollar,WM/Reuters,Brazilian Real to United States Dollar (WMR),Active
MEXICAN PESO TO US $ (WMR),MEXPES$,1993/12/31,1993,Exchange Rates,Mexican Peso,United States Dollar,WM/Reuters,Mexican Peso to United States Dollar (WMR),Active
NEW TURKISH LIRA TO US $ (WMR),TURKLI$,1993/12/31,1993,Exchange Rates,Turkish Lira,United States Dollar,WM/Reuters,New Turkish Lira to United States Dollar (WMR),Active
JPY TO USD (BOE),JPUSBOE,1975/1/2,1975,Exchange Rates,Japanese Yen,United States Dollar,Bank of England,Japanese Yen to USD (BOE),Active
SOUTH AFRICA RAND TO US $ (WMR),COMRAN$,1993/12/31,1993,Exchange Rates,South African Rand,United States Dollar,WM/Reuters,South Africa Rand to United States Dollar (WMR),Active
SOUTH KOREAN WON TO US $ (WMR),KORSWO$,1993/12/31,1993,Exchange Rates,South Korean Won,United States Dollar,WM/Reuters,South Korean Won to United States Dollar (WMR),Active
SWISS FRANC TO US $ (WMR),SWISSF$,1993/12/31,1993,Exchange Rates,Swiss Franc,United States Dollar,WM/Reuters,Swiss Franc to United States Dollar (WMR),Active
RUSSIAN ROUBLE TO US $ (WMR),CISRUB$,1996/3/6,1996,Exchange Rates,Russian Federation Ruble,United States Dollar,WM/Reuters,Russian Rouble to United States Dollar (WMR),Active
INDIAN RUPEE TO US $ (WMR),INDRUP$,1993/12/31,1993,Exchange Rates,Indian Rupee,United States Dollar,WM/Reuters,Indian Rupee to United States Dollar (WMR),Active
INDONESIAN RUPIAH TO US $ (WMR),INDORU$,1993/12/31,1993,Exchange Rates,Indonesian Rupiah,United States Dollar,WM/Reuters,Indonesian Rupiah to United States Dollar (WMR),Active
HONG KONG $ TO US $ (WMR),HKDOLL$,1993/12/31,1993,Exchange Rates,Hong Kong Dollar,United States Dollar,WM/Reuters,Hong Kong Dollar to United States Dollar (WMR),Active
JAPANESE YEN TO US $ (RFV),TDJPYSP,1989/10/16,1989,Exchange Rates,Japanese Yen,United States Dollar,Refinitiv,Japanese Yen to United States Dollar (Refinitiv),Active
SINGAPORE $ TO US $ (WMR),SINGDO$,1993/12/31,1993,Exchange Rates,Singaporean Dollar,United States Dollar,WM/Reuters,Singapore$ to United States Dollar (WMR),Active
UK ? TO US $ (RFV),UKDOLLR,1957/1/31,1957,Exchange Rates,United Kingdom Pound,United States Dollar,Refinitiv,United Kingdom Sterling to United States Dollar (Refinitiv),Active
US DOLLAR INDEX - CLOSE,USG6WIC,1990/1/2,1990,Exchange Rates,United States Dollar,United States Dollar,Refinitiv,US Dollar Index - Close,Active
AUSTRALIAN $ TO US $ (RFV),AUSTDOI,1993/12/31,1993,Exchange Rates,Australian Dollar,United States Dollar,Refinitiv,Australian Dollar to United States Dollar (Refinitiv),Active
CNY TO USD (BOE),CHUSBOE,2005/4/1,2005,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,Bank of England,CNY to USD (BOE),Active
SWEDISH KRONA TO US $ (WMR),SWEKRO$,1993/12/31,1993,Exchange Rates,Swedish Krona,United States Dollar,WM/Reuters,Swedish Krona to United States Dollar (WMR),Active
ARGENTINE PESO TO US $ (WMR),ARGPES$,1993/12/31,1993,Exchange Rates,Argentine Peso,United States Dollar,WM/Reuters,Argentine Peso to United States Dollar (WMR),Active
AUD TO USD (BOE),AUUSBOE,1975/1/2,1975,Exchange Rates,Australian Dollar,United States Dollar,Bank of England,Australian Dollar to USD (BOE),Active
