Name,Symbol,Start Date,Hist.,Category,From Currency,To Currency,Source,Full Name,Activity
USD TO AUD CBBR,USAUCBR,-,-,Exchange Rates,United States Dollar,Australian Dollar,Banco Central do Brasil,USD to Australian Dollar CBBR,Active
BUBA FIXING USD/DEM,BDFUSDE,1953/8/10,1953,Exchange Rates,United States Dollar,United States Dollar,Deutsche Bundesbank,Buba Fixing USD / DEM,Active
ITALY USD/ITL FIXING,ITUSD.X,1955/8/1,1955,Exchange Rates,United States Dollar,United States Dollar,Bank of Italy,Italy USD / Italian Fixing,Active
US $ TO UK ? (WMR),USDOLLR,1957/1/31,1957,Exchange Rates,United States Dollar,United Kingdom Pound,WM/Reuters,United States Dollar to United Kingdom Sterling (WMR),Active
US $ TO EURO (DS SYNTHETIC),USEURSN,1957/12/31,1957,Exchange Rates,United States Dollar,Euro,Refinitiv,United States Dollar to Euro (DS Synthetic),Active
US $ TO EURO (WMR&DS),USEURSP,1957/12/31,1957,Exchange Rates,United States Dollar,Euro,WM/Reuters,United States Dollar to Euro (WMR and DS),Active
US $ TO UK ? (OL),USOLDOL,1965/1/29,1965,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom Sterling (OL),Active
MSCI USD TO 1 USD,MSERUSD,1969/12/31,1969,Exchange Rates,United States Dollar,United States Dollar,MSCI,MSCI USD to 1 USD,Active
US $ INDEX - TRADE WEIGHTED DISC,US$TRDW,1971/1/4,1971,Exchange Rates,United States Dollar,United States Dollar,Refinitiv,United States Dollar Index - Trade Weighted Discontinued,Dead
US $ TO AUSTRALIAN $ (RFV),TDAUDSP,1971/1/4,1971,Exchange Rates,United States Dollar,Australian Dollar,Refinitiv,United States Dollar to Australian Dollar (Refinitiv),Active
US $ TO AUSTRALIAN $ NOON NY,A$U$FR2,1971/1/4,1971,Exchange Rates,United States Dollar,Australian Dollar,"Federal Reserve, United States",United States Dollar to Australian Dollar Noon NY,Active
US $ TO NEW ZEALAND $ (RFV),TDNZDSP,1971/1/4,1971,Exchange Rates,United States Dollar,New Zealand Dollar,Refinitiv,United States Dollar to New Zealand Dollar (Refinitiv),Active
US $ TO NEW ZEALAND $ NOON NY,Z$U$FR2,1971/1/4,1971,Exchange Rates,United States Dollar,New Zealand Dollar,"Federal Reserve, United States",United States Dollar to New Zealand Dollar Noon NY,Active
US $ TO UK ? NOON NY,UKU$FR2,1971/1/4,1971,Exchange Rates,United States Dollar,United Kingdom Pound,"Federal Reserve, United States",United States Dollar to United Kingdom Sterling Noon NY,Active
US $ INDEX 1990=100 ( 'DEAD',BOEUSA$,1975/1/1,1975,Exchange Rates,United States Dollar,United States Dollar,Bank of England,United States Dollar Index 1990 = 100 ('Dead',Dead
US $ INDEX 85=100 DISC,BOEUSA1,1975/1/2,1975,Exchange Rates,United States Dollar,United States Dollar,Refinitiv,United States Dollar Index 85 = 100 Discontinued,Dead
US $ TO BRITISH POUND (BOE),BOECGBP,1975/1/2,1975,Exchange Rates,United States Dollar,United Kingdom Pound,Bank of England,United States Dollar to British Pound (BOE),Active
USD TO GBP (BOE),STUSBOE,1975/1/2,1975,Exchange Rates,United States Dollar,United Kingdom Pound,Bank of England,USD to GBP (BOE),Active
US $ TO UK # 1M FWD DISC,USDOL1F,1976/1/2,1976,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 1 Month Forward Discontinued,Dead
US $ TO UK # 3M FWD DISC,USDOL3F,1976/1/2,1976,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 3 Month Forward Discontinued,Dead
US $ TO ECU,USA$ECU,1977/7/15,1977,Exchange Rates,United States Dollar,Euro,Refinitiv,United States Dollar to ECU,Active
US $ TRADE WGHT. DISC,BKEUSA$,1978/6/5,1978,Exchange Rates,United States Dollar,United States Dollar,Refinitiv,United States Dollar Trade WGHT Discontinued,Dead
DNB FIXING USD/NLG,NLFUSNL,1978/12/28,1978,Exchange Rates,United States Dollar,United States Dollar,DNB - De Nederlandsche Bank,DNB Fixing USD / NLG,Active
US $ TO EURO (ECB),USECBSP,1978/12/28,1978,Exchange Rates,United States Dollar,Euro,ECB - European Central Bank,United States Dollar to Euro (ECB),Active
US $ TO EURO SYNTHETIC (WMR),USEURWD,1979/12/31,1979,Exchange Rates,United States Dollar,Euro,Refinitiv,United States Dollar to Euro Synthetic (WMR),Active
"HK EXCHANGE RATES USD/HKD, FIXINGS",HKUSDFX,1981/1/2,1981,Exchange Rates,United States Dollar,United States Dollar,Hong Kong Monetary Authority,"HK Exchange Rates USD / HKD, Fixings",Active
USD TO GBP 1M FWD PTS,GBP1MFP,1982/1/4,1982,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,USD to GBP 1 Month Forward PTS,Active
USD TO GBP 2M FWD PTS,GBP2MFP,1982/1/4,1982,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,USD to GBP 2 Month Forward PTS,Active
NOMINAL EER - NARROW,USBINXN,1983/10/3,1983,Exchange Rates,United States Dollar,-,Bank for International Settlements,Nominal EER - Narrow,Active
US $ TO UK ? (BBI),BBGBPSP,1983/10/11,1983,Exchange Rates,United States Dollar,United Kingdom Pound,Barclays Bank PLC,United States Dollar to United Kingdom Sterling (BBI),Active
US $ TO UK ? 1M FWD (BBI),BBGBP1F,1983/10/11,1983,Exchange Rates,United States Dollar,United Kingdom Pound,Barclays Bank PLC,United States Dollar to United Kingdom Sterling 1 Month Forward (BBI),Active
US $ TO UK ? 1Y FWD (BBI),BBGBPYF,1983/10/11,1983,Exchange Rates,United States Dollar,United Kingdom Pound,Barclays Bank PLC,United States Dollar to United Kingdom Sterling 1 Year Forward (BBI),Active
US $ TO UK ? 2M FWD (BBI),BBGBP2F,1983/10/11,1983,Exchange Rates,United States Dollar,United Kingdom Pound,Barclays Bank PLC,United States Dollar to United Kingdom Sterling 2 Month Forward (BBI),Active
US $ TO UK ? 3M FWD (BBI),BBGBP3F,1983/10/11,1983,Exchange Rates,United States Dollar,United Kingdom Pound,Barclays Bank PLC,United States Dollar to United Kingdom Sterling 3 Month Forward (BBI),Active
US $ TO UK ? 6M FWD (BBI),BBGBP6F,1983/10/11,1983,Exchange Rates,United States Dollar,United Kingdom Pound,Barclays Bank PLC,United States Dollar to United Kingdom Sterling 6 Month Forward (BBI),Active
US $ TO AUSTRALIAN $,AUUSDSP,1983/12/12,1983,Exchange Rates,United States Dollar,Australian Dollar,Reserve Bank of Australia,United States Dollar to Australian Dollar,Active
US $ TO IRISH PUNT (BBI),BBIEPSP,1984/12/14,1984,Exchange Rates,United States Dollar,Irish Pound,Barclays Bank PLC,United States Dollar to Irish Punt (BBI),Active
US $ TO UK # (NWB) DISC,NBGBPSP,1985/2/20,1985,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # (NWB) Discontinued,Dead
US $ TO UK # 1M FWD (NWB) DISC,NBGBP1F,1985/2/20,1985,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 1 Month Forward (NWB) Discontinued,Dead
US $ TO UK # 1Y FWD (NWB) DISC,NBGBPYF,1985/2/20,1985,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 1 Year Forward (NWB) Discontinued,Dead
US $ TO UK # 2M FWD (NWB) DISC,NBGBP2F,1985/2/20,1985,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 2 Month Forward (NWB) Discontinued,Dead
US $ TO UK # 3M FWD (NWB) DISC,NBGBP3F,1985/2/20,1985,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 3 Month Forward (NWB) Discontinued,Dead
US $ TO UK # 6M FWD (NWB) DISC,NBGBP6F,1985/2/20,1985,Exchange Rates,United States Dollar,United Kingdom Pound,Refinitiv,United States Dollar to United Kingdom # 6 Month Forward (NWB) Discontinued,Dead
US $ TO NLG (NL) DISC,FLUSDLR,1985/9/11,1985,Exchange Rates,United States Dollar,Dutch Guilder,Refinitiv,United States Dollar to NLG (NL) Discontinued,Dead
US $ TO AUSTRALIAN $(JPM) DISC,JPMERAU,1986/1/1,1986,Exchange Rates,United States Dollar,Australian Dollar,J.P. Morgan,United States Dollar to Australian Dollar (JP Morgan) Discontinued,Dead
US $ TO BELGIAN FRANC(JPM) DISC,JPMERBG,1986/1/1,1986,Exchange Rates,United States Dollar,Belgian Franc,J.P. Morgan,United States Dollar to Belgian Franc (JP Morgan) Discontinued,Dead
US $ TO CANADIAN $(JPM) DISC,JPMERCN,1986/1/1,1986,Exchange Rates,United States Dollar,Canadian Dollar,J.P. Morgan,United States Dollar to Canadian Dollar (JP Morgan) Discontinued,Dead
US $ TO DANISH KRONE(JPM) DISC,JPMERDK,1986/1/1,1986,Exchange Rates,United States Dollar,Danish Krone,J.P. Morgan,United States Dollar to Danish Krone (JP Morgan) Discontinued,Dead
US $ TO FRENCH FRANC (JPM DISC,JPMERFR,1986/1/1,1986,Exchange Rates,United States Dollar,French Franc,J.P. Morgan,United States Dollar to French Franc (JP Morgan Discontinued,Dead
US $ TO GERMAN MARK (JPM) DISC,JPMERBD,1986/1/1,1986,Exchange Rates,United States Dollar,German Mark,J.P. Morgan,United States Dollar to German Mark (JP Morgan) Discontinued,Dead
US $ TO ITALIAN LIRA (JPM) DISC,JPMERIT,1986/1/1,1986,Exchange Rates,United States Dollar,Italian Lira,J.P. Morgan,United States Dollar to Italian Lira (JP Morgan) Discontinued,Dead
US $ TO JAPANESE YEN (JPM) DISC,JPMERJP,1986/1/1,1986,Exchange Rates,United States Dollar,Japanese Yen,J.P. Morgan,United States Dollar to Japanese Yen (JP Morgan) Discontinued,Dead
US $ TO NETHERLANDS GUILDER (J DISC,JPMERNL,1986/1/1,1986,Exchange Rates,United States Dollar,Dutch Guilder,J.P. Morgan,United States Dollar to Netherlands Guilder (J Discontinued,Dead
US $ TO NEW ZEALAND $ (JPM) DISC,JPMERNZ,1986/1/1,1986,Exchange Rates,United States Dollar,New Zealand Dollar,J.P. Morgan,United States Dollar to New Zealand Dollar (JP Morgan) Discontinued,Dead
US $ TO SPANISH PESETA(JPM DISC,JPMERES,1986/1/1,1986,Exchange Rates,United States Dollar,Spanish Peseta,J.P. Morgan,United States Dollar to Spanish Peseta (JP Morgan Discontinued,Dead
US $ TO SWISS FRANC (JPM DISC,JPMERSW,1986/1/1,1986,Exchange Rates,United States Dollar,Swiss Franc,J.P. Morgan,United States Dollar to Swiss Franc (JP Morgan Discontinued,Dead
US $ TO UK # (JPM) DISC,JPMERUK,1986/1/1,1986,Exchange Rates,United States Dollar,United Kingdom Pound,J.P. Morgan,United States Dollar to United Kingdom # (JP Morgan) Discontinued,Dead
US $ TO 10 LEBANESE POUNDS (RFV),LEBANUS,1986/1/2,1986,Exchange Rates,United States Dollar,Lebanese Pound,GTIS - FTID/TR,United States Dollar to 10 Lebanese Pounds (Refinitiv),Active
US $ TO 100 COLOM. PESO (RFV),COLMPUS,1986/1/2,1986,Exchange Rates,United States Dollar,Colombian Peso,GTIS - FTID/TR,United States Dollar to 100 Colombian Peso (Refinitiv),Active
US $ TO 100 INDIAN RUPEE (RFV),INDNRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Indian Rupee,GTIS - FTID/TR,United States Dollar to 100 Indian Rupee (Refinitiv),Active
US $ TO 100 JAPANESE YEN (RFV),JAPYNUS,1986/1/2,1986,Exchange Rates,United States Dollar,Japanese Yen,GTIS - FTID/TR,United States Dollar to 100 Japanese Yen (Refinitiv),Active
US $ TO 1000 INDO. RUPIAH (RFV),INDONUS,1986/1/2,1986,Exchange Rates,United States Dollar,Indonesian Rupiah,GTIS - FTID/TR,United States Dollar to 1000 Indonesian Rupiah (Refinitiv),Active
US $ TO ARGENTINE PESO (RFV),ARGENUS,1986/1/2,1986,Exchange Rates,United States Dollar,Argentine Peso,GTIS - FTID/TR,United States Dollar to Argentine Peso (Refinitiv),Active
US $ TO AUSTRALIAN $ (RFV),AUSTRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Australian Dollar,GTIS - FTID/TR,United States Dollar to Australian Dollar (Refinitiv),Active
US $ TO AUSTRIAN SCHILLING DISC,AUSCHUS,1986/1/2,1986,Exchange Rates,United States Dollar,Austrian Schilling,GTIS - FTID/TR,United States Dollar to Austrian Schilling Discontinued,Dead
US $ TO BELGIAN FRANC CM ( DISC,BELCMUS,1986/1/2,1986,Exchange Rates,United States Dollar,Belgian Franc,GTIS - FTID/TR,United States Dollar to Belgian Franc CM (Discontinued,Dead
US $ TO BELGIAN FRANC FN ( DISC,BELFNUS,1986/1/2,1986,Exchange Rates,United States Dollar,Belgian Franc,GTIS - FTID/TR,United States Dollar to Belgian Franc FN (Discontinued,Dead
US $ TO BRAZILIAN $ (RFV),BRAZLUS,1986/1/2,1986,Exchange Rates,United States Dollar,Brazilian Real,GTIS - FTID/TR,United States Dollar to Brazilian$ (Refinitiv),Active
US $ TO CANADIAN $ (RFV),CDNDLUS,1986/1/2,1986,Exchange Rates,United States Dollar,Canadian Dollar,GTIS - FTID/TR,United States Dollar to Canadian Dollar (Refinitiv),Active
US $ TO CANADIAN $ 1M FWD DISC,CD30DUS,1986/1/2,1986,Exchange Rates,United States Dollar,Canadian Dollar,The Wall Street Journal,United States Dollar to Canadian Dollar 1 Month Forward Discontinued,Dead
US $ TO CANADIAN $ 3M FWD DISC,CD90DUS,1986/1/2,1986,Exchange Rates,United States Dollar,Canadian Dollar,The Wall Street Journal,United States Dollar to Canadian Dollar 3 Month Forward Discontinued,Dead
US $ TO CANADIAN $ 6M FWD DISC,CD180US,1986/1/2,1986,Exchange Rates,United States Dollar,Canadian Dollar,The Wall Street Journal,United States Dollar to Canadian Dollar 6 Month Forward Discontinued,Dead
US $ TO CHILEAN PESO (RFV),CHILPUS,1986/1/2,1986,Exchange Rates,United States Dollar,Chilean Peso,GTIS - FTID/TR,United States Dollar to Chilean Peso (Refinitiv),Active
US $ TO CHINESE YUAN (RFV),CHINYUS,1986/1/2,1986,Exchange Rates,United States Dollar,Chinese Yuan Renminbi,GTIS - FTID/TR,United States Dollar to Chinese Yuan (Refinitiv),Active
US $ TO DANISH KRONE (RFV),DANKRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Danish Krone,GTIS - FTID/TR,United States Dollar to Danish Krone (Refinitiv),Active
US $ TO ECU 'DEAD' USE EURO.US,ECUESUS,1986/1/2,1986,Exchange Rates,United States Dollar,European Currency Unit,Refinitiv,United States Dollar to ECU 'Dead' Use Euro US,Dead
US $ TO ECUADOR SUCRE (RFV),ECSCFUS,1986/1/2,1986,Exchange Rates,United States Dollar,Ecuadorian Sucre,GTIS - FTID/TR,United States Dollar to Ecuador Sucre (Refinitiv),Active
US $ TO ECUADOR SUCRE OFFICIAL,ECSCOUS,1986/1/2,1986,Exchange Rates,United States Dollar,Ecuadorian Sucre,Refinitiv,United States Dollar to Ecuador Sucre Official,Active
US $ TO FINNISH MARKKA (GT DISC,FINMKUS,1986/1/2,1986,Exchange Rates,United States Dollar,Finnish Markka,GTIS - FTID/TR,United States Dollar to Finnish Markka (GT Discontinued,Dead
US $ TO FRENCH FR. 1M FWD DISC,FF30DUS,1986/1/2,1986,Exchange Rates,United States Dollar,French Franc,GTIS - FTID/TR,United States Dollar to French Franc 1 Month Forward Discontinued,Dead
US $ TO FRENCH FR. 3M FWD DISC,FF90DUS,1986/1/2,1986,Exchange Rates,United States Dollar,French Franc,GTIS - FTID/TR,United States Dollar to French Franc 3 Month Forward Discontinued,Dead
US $ TO FRENCH FR. 6M FWD DISC,FF180US,1986/1/2,1986,Exchange Rates,United States Dollar,French Franc,GTIS - FTID/TR,United States Dollar to French Franc 6 Month Forward Discontinued,Dead
US $ TO FRENCH FRANC (GTI DISC,FRNFRUS,1986/1/2,1986,Exchange Rates,United States Dollar,French Franc,GTIS - FTID/TR,United States Dollar to French Franc (GTI Discontinued,Dead
US $ TO GERMAN MARK (GTIS DISC,WGMRKUS,1986/1/2,1986,Exchange Rates,United States Dollar,German Mark,GTIS - FTID/TR,United States Dollar to German Mark (GTIS Discontinued,Dead
US $ TO GERMAN MARK 1M FW DISC,WG30DUS,1986/1/2,1986,Exchange Rates,United States Dollar,German Mark,GTIS - FTID/TR,United States Dollar to German Mark 1 Month FW Discontinued,Dead
US $ TO GERMAN MARK 3M FW DISC,WG90DUS,1986/1/2,1986,Exchange Rates,United States Dollar,German Mark,GTIS - FTID/TR,United States Dollar to German Mark 3 Month FW Discontinued,Dead
US $ TO GERMAN MARK 6M FW DISC,WG180US,1986/1/2,1986,Exchange Rates,United States Dollar,German Mark,GTIS - FTID/TR,United States Dollar to German Mark 6 Month FW Discontinued,Dead
US $ TO GREEK DRACHMA (G DISC,GREDRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Greek Drachma,GTIS - FTID/TR,United States Dollar to Greek Drachma (G Discontinued,Dead
US $ TO HONG KONG $ (RFV),HKDOLUS,1986/1/2,1986,Exchange Rates,United States Dollar,Hong Kong Dollar,GTIS - FTID/TR,United States Dollar to Hong Kong Dollar (Refinitiv),Active
US $ TO IRISH PUNT (GTIS DISC,IRISHUS,1986/1/2,1986,Exchange Rates,United States Dollar,Irish Pound,GTIS - FTID/TR,United States Dollar to Irish Punt (GTIS Discontinued,Dead
US $ TO ISRAELI SHEKEL (RFV),ISRALUS,1986/1/2,1986,Exchange Rates,United States Dollar,Israeli Sheqel,GTIS - FTID/TR,United States Dollar to Israeli Shekel (Refinitiv),Active
US $ TO ITALIAN LIRA (GTIS DISC,ITALRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Italian Lira,GTIS - FTID/TR,United States Dollar to Italian Lira (GTIS Discontinued,Dead
US $ TO JAPANESE YEN 1M FWD DISC,JP30DUS,1986/1/2,1986,Exchange Rates,United States Dollar,Japanese Yen,The Wall Street Journal,United States Dollar to Japanese Yen 1 Month Forward Discontinued,Dead
US $ TO JAPANESE YEN 3M FWD DISC,JP90DUS,1986/1/2,1986,Exchange Rates,United States Dollar,Japanese Yen,The Wall Street Journal,United States Dollar to Japanese Yen 3 Month Forward Discontinued,Dead
US $ TO JAPANESE YEN 6M FWD DISC,JP180US,1986/1/2,1986,Exchange Rates,United States Dollar,Japanese Yen,The Wall Street Journal,United States Dollar to Japanese Yen 6 Month Forward Discontinued,Dead
US $ TO JORDANIAN DINAR (RFV),JORDRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Jordanian Dinar,GTIS - FTID/TR,United States Dollar to Jordanian Dinar (Refinitiv),Active
US $ TO KUWAITI DINAR (RFV),KUWTDUS,1986/1/2,1986,Exchange Rates,United States Dollar,Kuwaiti Dinar,GTIS - FTID/TR,United States Dollar to Kuwaiti Dinar (Refinitiv),Active
