DATE\UNIT,Australian dollar/Euro (EXR.D.AUD.EUR.SP00.A),Bulgarian lev/Euro (EXR.D.BGN.EUR.SP00.A),Brazilian real/Euro (EXR.D.BRL.EUR.SP00.A),Canadian dollar/Euro (EXR.D.CAD.EUR.SP00.A),Swiss franc/Euro (EXR.D.CHF.EUR.SP00.A),Chinese yuan renminbi/Euro (EXR.D.CNY.EUR.SP00.A),Cyprus pound/Euro (EXR.D.CYP.EUR.SP00.A),Czech koruna/Euro (EXR.D.CZK.EUR.SP00.A),Danish krone/Euro (EXR.D.DKK.EUR.SP00.A),Estonian kroon/Euro (EXR.D.EEK.EUR.SP00.A),UK pound sterling/Euro (EXR.D.GBP.EUR.SP00.A),Greek drachma/Euro (EXR.D.GRD.EUR.SP00.A),Hong Kong dollar/Euro (EXR.D.HKD.EUR.SP00.A),Croatian kuna/Euro (EXR.D.HRK.EUR.SP00.A),Hungarian forint/Euro (EXR.D.HUF.EUR.SP00.A),Indonesian rupiah/Euro (EXR.D.IDR.EUR.SP00.A),Israeli shekel/Euro (EXR.D.ILS.EUR.SP00.A),Indian rupee/Euro (EXR.D.INR.EUR.SP00.A),Iceland krona/Euro (EXR.D.ISK.EUR.SP00.A),Japanese yen/Euro (EXR.D.JPY.EUR.SP00.A),Korean won (Republic)/Euro (EXR.D.KRW.EUR.SP00.A),Lithuanian litas/Euro (EXR.D.LTL.EUR.SP00.A),Latvian lats/Euro (EXR.D.LVL.EUR.SP00.A),Maltese lira/Euro (EXR.D.MTL.EUR.SP00.A),Mexican peso/Euro (EXR.D.MXN.EUR.SP00.A),Malaysian ringgit/Euro (EXR.D.MYR.EUR.SP00.A),Norwegian krone/Euro (EXR.D.NOK.EUR.SP00.A),New Zealand dollar/Euro (EXR.D.NZD.EUR.SP00.A),Philippine peso/Euro (EXR.D.PHP.EUR.SP00.A),Polish zloty/Euro (EXR.D.PLN.EUR.SP00.A),Romanian leu/Euro (EXR.D.RON.EUR.SP00.A),Russian rouble/Euro (EXR.D.RUB.EUR.SP00.A),Swedish krona/Euro (EXR.D.SEK.EUR.SP00.A),Singapore dollar/Euro (EXR.D.SGD.EUR.SP00.A),Slovenian tolar/Euro (EXR.D.SIT.EUR.SP00.A),Slovak koruna/Euro (EXR.D.SKK.EUR.SP00.A),Thai baht/Euro (EXR.D.THB.EUR.SP00.A),Turkish lira/Euro (EXR.D.TRY.EUR.SP00.A),US dollar/Euro (EXR.D.USD.EUR.SP00.A),South African rand/Euro (EXR.D.ZAR.EUR.SP00.A)
2024/6/28,1.6079,1.9558,5.8915,1.467,0.9634,7.7748,,25.025,7.4575,,0.84638,,8.3594,,395.1,17487.21,4.02,89.2495,148.9,171.94,1474.86,,,,19.5654,5.0501,11.3965,1.7601,62.56,4.309,4.9773,,11.3595,1.4513,,,39.319,35.1868,1.0705,19.497
2024/6/27,1.6078,1.9558,5.8887,1.4647,0.9604,7.7745,,24.933,7.4583,,0.8459,,8.3521,,397.68,17530,4.0171,89.242,148.9,171.66,1482.71,,,,19.678,5.048,11.398,1.7543,62.705,4.3188,4.9779,,11.338,1.4519,,,39.393,35.172,1.0696,19.6609
2024/6/26,1.6053,1.9558,5.8524,1.4628,0.9585,7.7673,,24.877,7.4591,,0.84453,,8.3459,,396.53,17563.79,4.0054,89.323,149.1,171.42,1488.06,,,,19.4941,5.042,11.3945,1.7537,63.029,4.3075,4.9769,,11.3038,1.4513,,,39.394,35.1962,1.0689,19.4243
2024/6/25,1.6109,1.9558,5.8015,1.465,0.9575,7.7811,,24.819,7.4594,,0.84465,,8.3652,,396,17559.71,3.9968,89.3855,149.1,170.84,1491.03,,,,19.3338,5.0404,11.3265,1.7498,62.966,4.2995,4.977,,11.2255,1.4499,,,39.272,35.316,1.0714,19.4537
2024/6/24,1.6157,1.9558,5.8278,1.4682,0.9586,7.7891,,24.893,7.4593,,0.8473,,8.3772,,394.36,17596.13,4.0003,89.5833,149.1,171.17,1489.57,,,,19.3887,5.0554,11.349,1.7543,63.066,4.3003,4.9774,,11.2555,1.452,,,39.347,35.2953,1.073,19.5122
2024/6/21,1.6031,1.9558,5.8107,1.4632,0.9537,7.7602,,24.949,7.458,,0.84531,,8.3401,,396.93,17597.85,4.0097,89.315,149.1,169.82,1484.58,,,,19.5271,5.0373,11.2685,1.7427,62.92,4.322,4.9773,,11.2445,1.4468,,,39.15,35.1129,1.0688,19.1241
2024/6/20,1.6076,1.9558,5.7921,1.4696,0.9546,7.7825,,24.898,7.4581,,0.84513,,8.3654,,397.39,17678.1,3.9948,89.6225,149.3,169.82,1488.01,,,,19.7453,5.0492,11.2915,1.7492,63.124,4.321,4.9771,,11.198,1.4504,,,39.403,35.1725,1.0719,19.4066
2024/6/19,1.6125,1.9558,5.8479,1.4737,0.9506,7.8005,,24.91,7.4592,,0.84455,,8.3905,,396.34,17610.03,3.9958,89.682,149.3,169.78,1484.25,,,,19.8583,5.059,11.354,1.7528,63.156,4.33,4.9768,,11.214,1.4519,,,39.417,34.975,1.0749,19.3752
2024/6/18,1.6207,1.9558,5.8275,1.4731,0.9512,7.7748,,24.767,7.4601,,0.8454,,8.3664,,395.13,17594.24,3.9867,89.3885,149.3,169.41,1484.07,,,,19.7167,5.0511,11.448,1.7562,62.913,4.3503,4.9763,,11.255,1.451,,,39.447,34.9773,1.0715,19.4298
2024/6/17,1.6246,1.9558,5.7841,1.4726,0.9561,7.7728,,24.699,7.4603,,0.84573,,8.3667,,396.25,17630.35,3.9919,89.4895,149.5,169.11,1480.65,,,,19.8594,5.0555,11.486,1.7526,62.879,4.36,4.9769,,11.2933,1.4497,,,39.415,35.1953,1.0712,19.5862
